fecha,nuevos_casos_caba
2/3/2020,1
9/3/2020,1
10/3/2020,1
11/3/2020,1
12/3/2020,10
13/03/2020,2
14/03/2020,11
15/03/2020,6
16/03/2020,5
17/03/2020,4
18/03/2020,10
19/03/2020,8
20/03/2020,9
21/03/2020,29
22/03/2020,11
23/03/2020,11
24/03/2020,29
25/03/2020,21
26/03/2020,30
27/03/2020,27
28/03/2020,18
29/03/2020,13
30/03/2020,34
31/03/2020,19
1/4/2020,10
2/4/2020,24
3/4/2020,28
4/4/2020,34
5/4/2020,32
6/4/2020,17
7/4/2020,24
8/4/2020,18
9/4/2020,23
10/4/2020,11
11/4/2020,46
12/4/2020,8
13/04/2020,10
14/04/2020,22
15/04/2020,30
16/04/2020,15
17/04/2020,14
18/04/2020,14
19/04/2020,15
20/04/2020,22
21/04/2020,33
22/04/2020,39
23/04/2020,37
24/04/2020,79
25/04/2020,55
26/04/2020,36
27/04/2020,32
28/04/2020,50
29/04/2020,34
30/04/2020,45
1/5/2020,29
2/5/2020,58
3/5/2020,49
4/5/2020,43
5/5/2020,57
6/5/2020,102
7/5/2020,77
8/5/2020,130
9/5/2020,83
10/5/2020,165
11/5/2020,137
12/5/2020,188
13/05/2020,179
14/05/2020,153
15/05/2020,215
16/05/2020,193
17/05/2020,147
18/05/2020,169
19/05/2020,224
20/05/2020,257
21/05/2020,379
22/05/2020,404
23/05/2020,400
24/05/2020,494
25/05/2020,375
26/05/2020,327
27/05/2020,361
28/05/2020,425
29/05/2020,401
30/05/2020,459
31/05/2020,358
1/6/2020,274
2/6/2020,371
3/6/2020,467
4/6/2020,437
5/6/2020,420
6/6/2020,477
7/6/2020,359
8/6/2020,420
9/6/2020,535
10/6/2020,522
11/6/2020,538
12/6/2020,565
13/06/2020,558
14/06/2020,558
15/06/2020,575
16/06/2020,488
17/06/2020,522
18/06/2020,692
19/06/2020,804
20/06/2020,512
21/06/2020,707
22/06/2020,1025
23/06/2020,759
24/06/2020,1012
25/06/2020,942
26/06/2020,968
27/06/2020,849
28/06/2020,852
29/06/2020,944
30/06/2020,744
1/7/2020,841
2/7/2020,840
3/7/2020,835
4/7/2020,900
5/7/2020,767
6/7/2020,995
7/7/2020,1025
8/7/2020,1116
9/7/2020,1058
10/7/2020,1049
11/7/2020,1051
12/7/2020,754
13/07/2020,863
14/07/2020,1040
15/07/2020,1222
16/07/2020,854
17/07/2020,1084
18/07/2020,1106
19/07/2020,1115
20/07/2020,1090
21/07/2020,1453
22/07/2020,1390
23/07/2020,1271
24/07/2020,1157
25/07/2020,1121
26/07/2020,888
27/07/2020,1059
28/07/2020,1202
29/07/2020,1079
30/07/2020,1239
31/07/2020,1142
1/8/2020,968
2/8/2020,971
3/8/2020,1051
4/8/2020,1371
5/8/2020,1467
6/8/2020,1446
7/8/2020,1235
8/8/2020,966
9/8/2020,873
10/8/2020,1047
11/8/2020,1200
12/8/2020,1163
13/08/2020,1120
14/08/2020,1012
15/08/2020,915
16/08/2020,972
17/08/2020,710
18/08/2020,1051
19/08/2020,1094
20/08/2020,1280
21/08/2020,1179
22/08/2020,1100
23/08/2020,1020
24/08/2020,1333
25/08/2020,1311
26/08/2020,1568
27/08/2020,1220
28/08/2020,1430
29/08/2020,1195
30/08/2020,1235
31/08/2020,1387
1/9/2020,1395
2/9/2020,1346
3/9/2020,1411
4/9/2020,1278
5/9/2020,1084
6/9/2020,802
7/9/2020,1089
8/9/2020,1300
9/9/2020,1264
10/9/2020,1284
11/9/2020,1215
12/9/2020,985
13/09/2020,843
14/09/2020,946
15/09/2020,1010
16/09/2020,813
17/09/2020,1156
18/09/2020,1070
19/09/2020,683
20/09/2020,696
21/09/2020,678
22/09/2020,927
23/09/2020,929
24/09/2020,1009
25/09/2020,926
26/09/2020,917
27/09/2020,628
28/09/2020,787
29/09/2020,993
30/09/2020,898
1/10/2020,924
2/10/2020,1050
3/10/2020,801
4/10/2020,533
5/10/2020,684
6/10/2020,883
7/10/2020,956
8/10/2020,937
9/10/2020,874
10/10/2020,742
11/10/2020,642
12/10/2020,499
13/10/2020,745
14/10/2020,825
15/10/2020,830
16/10/2020,952
17/10/2020,610
18/10/2020,517
19/10/2020,557
20/10/2020,663
21/10/2020,740
22/10/2020,566
23/10/2020,585
24/10/2020,464
25/10/2020,445
26/10/2020,515
27/10/2020,598
28/10/2020,641
29/10/2020,512
30/10/2020,504
31/10/2020,441
1/11/2020,258
2/11/2020,425
3/11/2020,460
4/11/2020,476
5/11/2020,476
6/11/2020,641
7/11/2020,394
8/11/2020,245
9/11/2020,401
10/11/2020,560
11/11/2020,549
12/11/2020,499
13/11/2020,397
14/11/2020,506
15/11/2020,297
16/11/2020,383
17/11/2020,428
18/11/2020,384
19/11/2020,479
20/11/2020,410
21/11/2020,350
22/11/2020,195
23/11/2020,239
24/11/2020,250
25/11/2020,324
26/11/2020,344
27/11/2020,414
28/11/2020,282
29/11/2020,217
30/11/2020,321
1/12/2020,398
2/12/2020,306
3/12/2020,372
4/12/2020,313
5/12/2020,253
6/12/2020,226
7/12/2020,164
8/12/2020,159
9/12/2020,334
10/12/2020,402
11/12/2020,445
12/12/2020,386
13/12/2020,246
14/12/2020,416
15/12/2020,483
16/12/2020,394
17/12/2020,508
18/12/2020,584
19/12/2020,501
20/12/2020,391
21/12/2020,490
22/12/2020,712
23/12/2020,690
24/12/2020,623
25/12/2020,623
26/12/2020,375
27/12/2020,728
28/12/2020,863
29/12/2020,996
30/12/2020,1076
31/12/2020,1337
1/1/2021,574
2/1/2021,495
3/1/2021,827
4/1/2021,1075
5/1/2021,1445
6/1/2021,1418
7/1/2021,1556
8/1/2021,1451
9/1/2021,1350
10/1/2021,1247
11/1/2021,915
12/1/2021,1558
13/1/2021,1204
14/1/2021,1367
15/1/2021,1306
16/1/2021,1150
17/1/2021,1157
18/1/2021,1210
19/1/2021,1388
20/1/2021,1272
21/1/2021,1265
22/1/2021,1160
23/1/2021,924
24/1/2021,706
25/1/2021,1094
26/1/2021,1290
27/1/2021,1247
28/1/2021,1101
29/1/2021,1195
30/1/2021,951
31/1/2021,757
1/2/2021,868
2/2/2021,1270
3/2/2021,1071
4/2/2021,1214
5/2/2021,1086
6/2/2021,733
7/2/2021,577
8/2/2021,699
9/2/2021,986
10/2/2021,915
11/2/2021,766
12/2/2021,812
13/2/2021,541
14/2/2021,657
15/2/2021,491
16/2/2021,439
17/2/2021,764
18/2/2021,794
19/2/2021,847
20/2/2021,596
21/2/2021,351
22/2/2021,825
23/2/2021,828
24/2/2021,1003
25/2/2021,884
26/2/2021,607
27/2/2021,583
28/2/2021,437
1/3/2021,432
2/3/2021,652
3/3/2021,859
4/3/2021,668
5/3/2021,863
6/3/2021,651
7/3/2021,429
8/3/2021,693
9/3/2021,877
10/3/2021,934
11/3/2021,825
12/3/2021,829
13/3/2021,796
14/3/2021,556
15/3/2021,1086
16/3/2021,967
17/3/2021,929
18/3/2021,916
19/3/2021,884
20/3/2021,842
21/3/2021,623
22/3/2021,895
23/3/2021,1180
24/3/2021,904
25/3/2021,1398
26/3/2021,1405
27/3/2021,1476
28/3/2021,1044
29/3/2021,2109
30/3/2021,1012
31/3/2021,1707
1/4/2021,1576
2/4/2021,1699
3/4/2021,1888
4/4/2021,1944
5/4/2021,2428
6/4/2021,2281
7/4/2021,2480
8/4/2021,2364
9/4/2021,2601
10/4/2021,2491
11/4/2021,2691
12/4/2021,3358
13/4/2021,2934
14/4/2021,2658
15/4/2021,2843
16/4/2021,3313
17/4/2021,2833
18/4/2021,3189
19/4/2021,2996
20/4/2021,3345
21/4/2021,2489
22/4/2021,3560
23/4/2021,2929
24/4/2021,3008
25/4/2021,2701
26/4/2021,2854
27/4/2021,2752
28/4/2021,2909
29/4/2021,2972
30/4/2021,2721
1/5/2021,2383
2/5/2021,1700
3/5/2021,1839
4/5/2021,3170
5/5/2021,2138
6/5/2021,2800
7/5/2021,2079
8/5/2021,2054
9/5/2021,1561
10/5/2021,1875
11/5/2021,2618
12/5/2021,2220
13/5/2021,2615
14/5/2021,2774
15/5/2021,2292
16/5/2021,1851
17/5/2021,2445
18/5/2021,3465
19/5/2021,3060
20/5/2021,3045
21/5/2021,2932
22/5/2021,3013
23/5/2021,1790
24/5/2021,2135
25/5/2021,2290
26/5/2021,3658
27/5/2021,3093
28/5/2021,3026
29/5/2021,2265
30/5/2021,1819
31/5/2021,2105
1/6/2021,2430
2/6/2021,2227
3/6/2021,1933
4/6/2021,1951
5/6/2021,1704
6/6/2021,1204
7/6/2021,1595
8/6/2021,2131
9/6/2021,1688
10/6/2021,1743
11/6/2021,1994
12/6/2021,1084
13/6/2021,1218
14/6/2021,1631
15/6/2021,1841
