 item.type , item.value                                          
 uri       , http://dbpedia.org/resource/Claudia_Amengual        
 uri       , http://dbpedia.org/resource/Delmira_Agustini        
 uri       , http://dbpedia.org/resource/José_Enrique_Rodó       
 uri       , http://dbpedia.org/resource/Juan_Carlos_Onetti      
 uri       , http://dbpedia.org/resource/Julio_Herrera_y_Reissig 
 uri       , http://dbpedia.org/resource/Jorge_Ruffinelli        
 uri       , http://dbpedia.org/resource/Marcos_Sastre           
 uri       , http://dbpedia.org/resource/Manuel_Pérez_y_Curis    
 uri       , http://dbpedia.org/resource/Esther_de_Cáceres       
 uri       , http://dbpedia.org/resource/Mario_Benedetti         
 uri       , http://dbpedia.org/resource/Gabriel_Pombo           
 uri       , http://dbpedia.org/resource/Jules_Supervielle       
 uri       , http://dbpedia.org/resource/Daniel_Chavarría        
 uri       , http://dbpedia.org/resource/Daniel_Mella            
 uri       , http://dbpedia.org/resource/Ida_Vitale              
 uri       , http://dbpedia.org/resource/Jorge_Majfud            
 uri       , http://dbpedia.org/resource/Adela_Castell           
 uri       , http://dbpedia.org/resource/Jorge_Medina_Vidal      
 uri       , http://dbpedia.org/resource/Hugo_Burel              
 uri       , http://dbpedia.org/resource/Alberto_Methol_Ferré    
 uri       , http://dbpedia.org/resource/Eduardo_Acevedo_Díaz    
 uri       , http://dbpedia.org/resource/Eduardo_Galeano         
 uri       , http://dbpedia.org/resource/Laura_Canoura           
 uri       , http://dbpedia.org/resource/Comte_de_Lautréamont    
 uri       , http://dbpedia.org/resource/Eduardo_Cuitiño         
 uri       , http://dbpedia.org/resource/Natalia_Mardero         
 uri       , http://dbpedia.org/resource/Circe_Maia              
 uri       , http://dbpedia.org/resource/Gloria_Escomel          
 uri       , http://dbpedia.org/resource/Juan_Carlos_Mondragón   
 uri       , http://dbpedia.org/resource/Jules_Laforgue          
 uri       , http://dbpedia.org/resource/Carlos_Rehermann        
 uri       , http://dbpedia.org/resource/Carlos_Vaz_Ferreira     
 uri       , http://dbpedia.org/resource/Carmen_Novoa            
 uri       , http://dbpedia.org/resource/Carmen_Posadas          
 uri       , http://dbpedia.org/resource/Matilde_Bianchi         
 uri       , http://dbpedia.org/resource/Hipólito_da_Costa       
 uri       , http://dbpedia.org/resource/Luisa_Luisi             
